old	new	source
sound-palette-apply	eseq.sound-palette/apply-entry	content/ui/sound-palette.lisp
sound-palette-panel	eseq.sound-palette/panel	content/ui/sound-palette.lisp
step-clear-drag-state	eseq.step-grid-interactions/step-clear-drag-state	content/ui/step-grid-interactions.lisp
step-double-click	eseq.step-grid-interactions/step-double-click	content/ui/step-grid-interactions.lisp
step-double-click-for-track	eseq.step-grid-interactions/step-double-click-for-track	content/ui/step-grid-interactions.lisp
step-hold-select-maybe-engage	eseq.step-grid-interactions/step-hold-select-maybe-engage	content/ui/step-grid-interactions.lisp
step-index	eseq.step-grid-interactions/step-index	content/ui/step-grid-interactions.lisp
step-panel-buffer	eseq.seq-step-tabs/step-panel-buffer	content/ui/seq-step-tabs.lisp
step-param-value	eseq.step-grid-interactions/step-param-value	content/ui/step-grid-interactions.lisp
step-pointer-down	eseq.step-grid-interactions/step-pointer-down	content/ui/step-grid-interactions.lisp
step-pointer-down-for-track	eseq.step-grid-interactions/step-pointer-down-for-track	content/ui/step-grid-interactions.lisp
step-pointer-up	eseq.step-grid-interactions/step-pointer-up	content/ui/step-grid-interactions.lisp
step-select-drag-over	eseq.step-grid-interactions/step-select-drag-over	content/ui/step-grid-interactions.lisp
